StartDate,EndDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q0,q1_dislike_groupdiscussion,q2_comfort_groupdiscussion,q3_nervous_groupdiscussion,q4_like_groupdiscussion,q5_tense_newppl_groupdiscussion,q6_relaxed_groupdiscussion,q13_nervous_newppl_convo,q14_nofear_speaking_convo,q15_nervous_convo,q16_relaxed_convo,q17_relaxed_newppl_convo,q18_afraid_convo,q26_public_transit_3months,q27_public_transit_dayuse,q28_rideshare_3months,q29_rideshare_dayuse,q20_license,q21_car_access,q_advice_text,q_transport_pref_text,Submission id,Started at,Completed at,Time taken,dem_age,Total approvals,dem_sex,dem_country,dem_student,dem_employment,group_apprehension,solo_apprehension,biggest_fear,public_transit_count,rideshare_count,highest_transport
2025,2025,11,d021b2e6eda401f795faddfa3d7bd5e559fa458b973b113e4ff6643b6da61d34,42.7805,-89.4923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,2025,36,1cab4557741ee763d960a629350156b8590462a6d6188b567ce062c1c6623ce9,36.7595,-95.2947,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,2,1,2,2,2,2,2,2,2,2,2,2,0,1.5,0,1.5,NA,NA,NA,NA,f3943bf594d541b81fbde88288600739a47ee97b0524c13d98e88925561b03fc,2025,2025,63,39,700+,Male,United States,No,Full-Time,1.8,2,solo_apprehension,0,0,NA
2025,2025,74,7bbf0ccfea1454bac9a4d4ffa0d079dbff840fefad510de4dc8ff510faea7500,51.9759,-1.8685,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,3,1,1,3,1,1,1,1,1,1,1,1,0,1.5,0,1.5,NA,NA,NA,NA,0799215a062ddef149fa49bfe069e3ff2b4b79f08f5b015bdc6ab351aad1ef4a,2025,2025,85,61,700+,Male,United Kingdom,No,Other,1.8,1,group_apprehension,0,0,NA
2025,2025,43,d45604a6be40d49805f97577fa2b8bcb3680362324ab83deac9bb9b9b44c63dd,43.6362,-120.2847,9c5b42df3203a81a70ea12998f2d28fee1d90d78f8eafd0013b83f48717c60e9,2,2,4,4,4,3,4,4,3,3,3,3,0,1.5,0,1.5,NA,NA,NA,NA,b5ee447916c6e86a0d40fb2f55eaad40ab43137efe45b7a7e9315ba575f55fe0,2025,2025,283,31,700+,Male,United States,No,Full-Time,3,3.3333333333333335,solo_apprehension,0,0,NA
2025,2025,69,d3c37726e9c85e91e853c4e2d445f4d1a36766de6395cefc94944d78a69a8950,43.0284,-82.9864,8fd5d407c80b93e07e303f68d4e9a359915c598c244a3cb6afa0e9b5c331f2aa,2,2,3,2,3,3,3,4,2,2,2,2,3,1.5,0,1.5,NA,NA,NA,NA,fbd66de9b2d0670e12cea181c97fa0bec80b2a6456756941cbb63af44062e09e,2025,2025,79,35,700+,Female,United States,No,Other,2.4,2.5,solo_apprehension,4.5,0,public_transit
2025,2025,72,91002b8546f7fd9a058243a547d255cb9806e68fa601776227c4a97e517b5848,45.9735,-122.8741,68e9369695b661f480a52f3a8817f34c706e69682e9555d10b612e51172ec07d,2,2,2,2,2,2,2,2,2,2,2,2,8,3.5,3,1.5,NA,NA,NA,NA,fea9542dca42476745040ed124c1c6696403771e101cd3f60068569d44373586,2025,2025,88,52,700+,Male,United States,No,Full-Time,2,2,NA,28,4.5,public_transit
2025,2025,85,079a66917f9e69d4565f7a1e06bf7a1ca88effbe099e138829a3aed0f8e70d63,43.020599999999995,-77.0992,6eda5ee338b7e3ec883c9b0abc31cec1cb49eebd663ce53608737dd7e917e2bd,4,4,4,5,5,5,4,4,2,4,4,3,0,1.5,0,1.5,NA,NA,NA,NA,46d093cf1ef5592928ea6199a4e52bc01af7fff83540bad086afeb0b9fc20a2f,2025,2025,98,42,700+,Male,United States,No,Full-Time,4.4,3.5,group_apprehension,0,0,NA
2025,2025,77,3f4aebb91caed23014db7b69b44c1149414bf389209216e31ffb4d6fd541b737,39.2499,-121.6151,506fb95b78aa3d050d5a1400de996c6ff4ee098b28a247b202c4e9603e0bb30f,2,2,3,2,3,3,4,3,3,3,2,3,0,1.5,3,1.5,NA,NA,NA,NA,25fc5f26fa1fa20341d25f752a8a80e7c0a93757545f04fd2e4bced71fca1355,2025,2025,104,30,300-399,Male,United States,No,Full-Time,2.4,3,solo_apprehension,0,4.5,rideshare
2025,2025,71,fb19b7f87eb7729277ebd379d15fcbbc3de04fe96723c8146d412bb4d5abe1e6,40.9726,-73.9466,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,1,1,1,1,2,1,2,1,1,2,2,1,1,1.5,3,1.5,NA,NA,NA,NA,042f3fc9c0e1eacdd50063e2e7be5ae758f53fe74cbdb1a36e0cc6e8db5a609d,2025,2025,114,48,500-599,Male,United States,No,Full-Time,1,1.5,solo_apprehension,1.5,4.5,rideshare
2025,2025,117,d6363c1da690391ed0eee4cef9991675da95bb611254242082c884712bfd0867,36.8237,-81.213,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,1,1,2,1,2,1,2,4,2,1,2,1,0,1.5,3,1.5,NA,NA,NA,NA,f49783f27606316e1e3a590e7403eab417b5612c2faeaf1a8196f7564e564d5e,2025,2025,142,45,700+,Male,United States,No,Full-Time,1.2,2,solo_apprehension,0,4.5,rideshare
